Simulation,GSx,"WiGS (MAB-UCB1, c=0.5)",WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (SAC),GSy,WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (MAB-UCB1, c=2.0)",QBC,"WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=5.0)",Passive Learning,iGS
54,20.313782453536987,33.18271207809448,35.58955955505371,35.50529932975769,38.77223563194275,20.829716205596924,29.315342903137207,35.86074662208557,28.617368936538696,26.78217077255249,35.620548486709595,33.47436714172363,17.829745054244995,24.31562352180481
55,19.261492490768433,27.70689296722412,32.02362871170044,31.883479356765747,40.25215148925781,19.879973888397217,31.730467796325684,27.250667333602905,27.848878383636475,26.60574984550476,33.378583669662476,27.898030042648315,17.27200746536255,22.499837636947632
56,19.69002389907837,31.408406257629395,32.56698679924011,32.382567167282104,39.47047400474548,21.05354404449463,27.500715494155884,32.55586242675781,26.705048084259033,27.205000638961792,32.02791500091553,31.301833391189575,17.77550983428955,22.736374616622925
57,19.89491868019104,30.298468112945557,35.77010726928711,36.19206619262695,42.848182678222656,20.452136039733887,34.36849927902222,29.601890325546265,30.187809228897095,26.99359154701233,35.81550693511963,30.677107334136963,17.33168125152588,25.038291454315186
58,19.80056881904602,28.575129508972168,33.13195562362671,32.8037645816803,39.54152512550354,20.479453086853027,32.411858558654785,27.743505477905273,28.441402912139893,27.295636415481567,33.15548896789551,28.430608987808228,17.727359771728516,23.230232000350952
59,19.944260120391846,27.62242841720581,33.261409521102905,33.781800746917725,43.58016777038574,20.43706202507019,28.30581021308899,28.473001956939697,32.46029877662659,26.88443112373352,28.438072443008423,27.96890377998352,17.536985874176025,23.682664155960083
60,19.859402894973755,28.871777296066284,33.865041732788086,33.513362646102905,40.861902713775635,20.71807551383972,28.90611481666565,29.4890615940094,28.796388149261475,27.74303102493286,28.98230290412903,29.243156909942627,17.67905616760254,24.059797286987305
61,20.02535581588745,30.62220048904419,31.914458751678467,31.513012886047363,42.64150309562683,20.486359357833862,34.57940316200256,34.619239807128906,30.414576292037964,27.05960488319397,36.11021375656128,36.154521226882935,17.448201656341553,25.080654621124268
62,19.50175452232361,27.998011112213135,32.26659679412842,32.190481662750244,39.061646461486816,20.08101987838745,32.021546840667725,27.81350564956665,27.88264036178589,26.7330482006073,32.58300256729126,27.57073950767517,17.35727596282959,22.688142776489258
63,22.191803455352783,34.33079528808594,35.284343957901,30.453472137451172,39.3769896030426,23.41498041152954,34.575692892074585,34.5260214805603,32.94401025772095,27.852205991744995,34.3085618019104,32.18816590309143,19.22844648361206,25.681543588638306
