Simulation,Passive Learning,GSx,GSy,iGS,Uncertainty Sampling,EGAL,EMCM,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
36,4.953713655471802,5.218257904052734,5.350564479827881,5.438274621963501,5.406447649002075,5.703860282897949,5.117339611053467,5.502796411514282,5.510871410369873,5.534361124038696,5.528679609298706,5.524334907531738,5.529980182647705,5.659543037414551,5.527304649353027,19.868460416793823,7.868698358535767
37,5.772538900375366,5.970769882202148,5.824362277984619,6.005655288696289,5.734122276306152,6.111522197723389,6.678105592727661,6.011617422103882,6.022406816482544,6.241654634475708,6.38386082649231,6.1784491539001465,6.266167879104614,6.308311462402344,6.4812281131744385,8.857877969741821,8.695737838745117
38,5.499428749084473,5.683340549468994,5.69955039024353,5.910208225250244,5.760036468505859,6.179343223571777,5.456545352935791,6.008944988250732,6.012676000595093,5.899944305419922,6.046135425567627,6.1454017162323,6.017289876937866,6.1868884563446045,6.094361066818237,8.750158309936523,8.491799592971802
39,4.9934446811676025,5.236865043640137,5.381870269775391,5.473815202713013,5.274046897888184,5.642534017562866,5.148425817489624,5.536462783813477,5.550991058349609,5.59980034828186,5.553382873535156,5.5655248165130615,5.573835372924805,5.69706392288208,5.574824333190918,8.056814432144165,7.915107250213623
40,6.1032960414886475,6.447120666503906,6.6169092655181885,6.780865669250488,6.558807849884033,6.883558034896851,6.4045562744140625,6.867013216018677,6.847842693328857,6.817560195922852,6.767629623413086,6.825890302658081,6.874220371246338,6.782383918762207,6.224911689758301,8.221785068511963,9.007628679275513
41,5.004464387893677,5.234921932220459,5.396502256393433,5.4789323806762695,5.287360668182373,5.7032952308654785,5.167289733886719,5.575672149658203,5.565208435058594,5.637097358703613,5.581787347793579,5.569162368774414,5.581667423248291,5.723703145980835,5.5845701694488525,8.088671207427979,7.942198991775513
42,4.941679954528809,5.1540749073028564,5.307272911071777,5.408483982086182,5.591269254684448,5.690303564071655,5.112839698791504,5.514406204223633,5.509934186935425,5.528664588928223,5.499629020690918,5.525223970413208,5.502630949020386,5.531174421310425,5.660207509994507,19.865129947662354,8.062565565109253
43,6.00063943862915,6.225127220153809,6.472472190856934,6.703890800476074,6.460443019866943,6.862783908843994,6.370666265487671,6.825172662734985,6.803894281387329,6.819874286651611,6.805095672607422,6.852155447006226,6.835401773452759,6.939651250839233,6.805002212524414,9.879212141036987,9.731130838394165
44,4.961727857589722,5.240219593048096,5.339954376220703,5.4669060707092285,5.296281576156616,5.601225852966309,5.182323694229126,5.534841060638428,5.545526027679443,5.574061393737793,5.508553504943848,5.461752414703369,5.424983739852905,5.560659170150757,5.599128246307373,8.451521873474121,7.816100358963013
45,4.941778659820557,5.172279596328735,5.3195390701293945,5.410343885421753,5.235705375671387,5.567786693572998,5.0924577713012695,5.486381530761719,5.488618612289429,5.510699033737183,5.50981068611145,5.4896697998046875,5.490762710571289,5.659590005874634,5.5240397453308105,19.948187112808228,7.793710470199585
46,4.950031518936157,5.185509443283081,5.3330512046813965,5.427596569061279,5.465687036514282,5.678909063339233,5.099823951721191,5.48767352104187,5.48035454750061,5.510945558547974,5.507543563842773,5.566246032714844,5.49675726890564,5.642431735992432,5.5080485343933105,19.9803364276886,7.926782608032227
47,5.021263837814331,5.252740859985352,5.4077231884002686,5.495214462280273,5.292740345001221,5.683391571044922,5.182221412658691,5.5541157722473145,5.5620033740997314,5.6099512577056885,5.557613372802734,5.561262130737305,5.564077854156494,5.7026567459106445,5.595513820648193,8.112516164779663,7.949846267700195
48,4.977219820022583,5.212180137634277,5.364454507827759,5.457138299942017,5.383778810501099,5.745817422866821,5.119373321533203,5.536778211593628,5.540006160736084,5.565575838088989,5.5591514110565186,5.551846981048584,5.544198274612427,5.704759120941162,5.568929195404053,19.74387502670288,7.82817530632019
49,6.073105335235596,6.385828018188477,6.605551719665527,6.735774517059326,6.553488254547119,6.808862209320068,6.33659291267395,6.81222939491272,6.793700933456421,6.80285382270813,6.7221314907073975,6.764928579330444,6.838716506958008,6.914073705673218,6.225072383880615,8.250900506973267,8.840417861938477
50,5.0427422523498535,5.279935121536255,5.434645414352417,5.5340142250061035,5.340013265609741,5.693986177444458,5.2091710567474365,5.594613075256348,5.620262384414673,5.642526626586914,5.593333959579468,5.595037221908569,5.6012725830078125,5.73063850402832,5.6269426345825195,8.170213222503662,7.996678113937378
51,5.014522075653076,5.245896577835083,5.381321668624878,5.506228446960449,5.310555458068848,5.624967813491821,5.156039714813232,5.603234052658081,5.557765960693359,5.56015944480896,5.59557318687439,5.584015607833862,5.545518398284912,5.693033218383789,5.606319427490234,8.043307781219482,7.928394556045532
52,6.178683042526245,6.394263982772827,6.628021240234375,6.758746862411499,6.574574947357178,6.9199135303497314,6.3974549770355225,6.838395833969116,6.8922154903411865,6.858588933944702,6.829108238220215,6.774528503417969,6.84910249710083,7.065549612045288,6.861505508422852,8.513545989990234,8.505794525146484
53,4.981623649597168,5.272233724594116,5.379040479660034,5.500868320465088,5.339386463165283,5.644524574279785,5.2034196853637695,5.57049822807312,5.578595399856567,5.610000848770142,5.56962513923645,5.4966816902160645,5.463692903518677,5.624762773513794,5.6634602546691895,8.099342584609985,7.865223407745361
