Simulation,Passive Learning,GSx,GSy,iGS,Uncertainty Sampling,EGAL,EMCM,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
67,14.659877061843872,16.71169114112854,17.192580699920654,20.465805292129517,15.648657083511353,34.83727312088013,15.211242198944092,26.064985752105713,25.8382670879364,25.749546766281128,25.19290781021118,25.414216995239258,25.389469861984253,25.202929496765137,24.994935512542725,32.30332159996033,23.1113862991333
68,16.894093990325928,17.908286809921265,18.60753345489502,21.6542649269104,16.458701133728027,37.13723134994507,18.955309867858887,31.351436614990234,31.298729419708252,30.936018705368042,30.9206063747406,30.45169472694397,29.94845414161682,30.16724467277527,29.59010124206543,38.34363317489624,29.599868535995483
69,17.225588083267212,18.923027992248535,19.470579147338867,23.589874744415283,18.18662428855896,39.838876247406006,17.817103624343872,30.444514989852905,30.680107355117798,30.194546222686768,31.414966583251953,30.049263954162598,30.546366691589355,29.867597341537476,31.10777759552002,37.518860816955566,26.44037103652954
70,17.132328033447266,18.996918439865112,19.43223786354065,23.06255078315735,18.131292819976807,39.29149651527405,17.776310443878174,29.58459758758545,29.9348042011261,29.66435694694519,30.938486576080322,29.660496711730957,29.77164363861084,29.72374439239502,30.136646270751953,37.02619695663452,26.453679084777832
71,14.839075803756714,17.979281187057495,19.04454255104065,22.029680013656616,17.137747049331665,28.830862522125244,17.208348035812378,23.08955955505371,23.245817184448242,23.432263374328613,24.281304121017456,24.165437936782837,23.153790950775146,22.383504390716553,24.559598207473755,33.410672664642334,28.15262722969055
72,14.799181938171387,16.893089771270752,17.368771076202393,20.157849073410034,16.287429571151733,32.229111433029175,15.567777156829834,25.283546209335327,25.633566856384277,25.59077739715576,25.532742738723755,25.272380352020264,25.418415784835815,25.0776150226593,24.53899598121643,29.152419805526733,23.17295479774475
73,15.030766725540161,16.669305086135864,17.138619661331177,18.839242935180664,15.931494951248169,26.144920587539673,15.515945196151733,20.5608811378479,20.569629907608032,20.519413709640503,20.523240566253662,20.599617958068848,20.536927223205566,20.49026131629944,20.50990128517151,26.86721634864807,23.40738320350647
74,14.778786897659302,16.68129277229309,17.16014552116394,20.48416566848755,15.684379577636719,32.95473861694336,15.251940965652466,25.682735443115234,25.431177616119385,25.40420889854431,24.977935075759888,25.177085638046265,24.627262830734253,24.880665063858032,24.32554316520691,31.472506284713745,23.24347472190857
75,17.050865650177002,18.812837839126587,19.240817070007324,23.763219356536865,17.952613592147827,42.380329608917236,17.583892345428467,30.78734588623047,31.055336236953735,30.86609125137329,32.05635595321655,30.511383056640625,30.961326360702515,30.77742886543274,31.750903129577637,37.875755310058594,25.813307285308838
76,14.81819486618042,16.719475507736206,17.38243556022644,19.643383026123047,16.135549306869507,30.881661653518677,15.686045169830322,23.445883989334106,24.4333393573761,24.485501527786255,24.317606449127197,24.173556089401245,24.373135805130005,24.045780897140503,23.61981225013733,30.503540754318237,24.133150339126587
77,17.02665638923645,17.59559941291809,18.212362051010132,19.958662033081055,16.35719323158264,30.746309995651245,18.93156099319458,26.803049564361572,26.792285203933716,26.88517141342163,26.725651502609253,26.832656860351562,26.54406476020813,26.319281578063965,25.95250177383423,33.56384086608887,28.253263235092163
78,14.802465200424194,16.786917448043823,17.26492667198181,20.487871885299683,15.884202718734741,34.66449689865112,15.313603401184082,26.08529019355774,25.8648624420166,25.740254402160645,25.182127237319946,25.421801567077637,25.378929376602173,25.20760440826416,24.997150182724,32.296239376068115,23.28076672554016
79,16.920557498931885,18.75802183151245,19.23699188232422,23.11247181892395,17.79964804649353,39.360848903656006,17.61795663833618,29.46903133392334,29.829939365386963,29.475230932235718,30.84901785850525,29.602734565734863,29.554952383041382,29.464221000671387,29.97821545600891,37.21035051345825,26.066092491149902
80,17.02446484565735,18.937832593917847,19.456893920898438,23.864023447036743,18.117496252059937,42.049089431762695,17.605512857437134,30.819555521011353,31.10812258720398,30.82463049888611,32.019821882247925,30.537539958953857,30.996192693710327,30.78358745574951,31.753690719604492,37.8921172618866,25.722679138183594
81,15.139904022216797,16.885517835617065,18.093021631240845,19.517695665359497,18.361759424209595,26.274806261062622,17.661444187164307,24.362094402313232,24.596095085144043,24.899976015090942,24.897770881652832,25.003345251083374,25.041598320007324,24.882150173187256,23.52397060394287,28.116532802581787,23.406555652618408
82,15.140705347061157,16.76689624786377,17.88337755203247,18.676722526550293,19.39412260055542,26.462947845458984,18.57043480873108,23.820200204849243,23.6370587348938,23.892813205718994,23.845420122146606,23.67608952522278,23.59256362915039,23.453924417495728,22.79989242553711,27.22839379310608,23.332015991210938
83,16.97482132911682,18.090960264205933,18.708304405212402,21.773799657821655,16.603959798812866,39.339139223098755,18.97402572631836,31.889180421829224,31.74329900741577,31.225059270858765,31.28800344467163,30.791964769363403,30.288827419281006,30.59575605392456,30.00844097137451,38.528226375579834,29.543298959732056
84,14.68689751625061,16.69320273399353,17.18645167350769,20.003634214401245,15.968769788742065,32.37473773956299,15.438130855560303,25.427054405212402,25.67193627357483,25.612566471099854,25.542076587677002,25.28887438774109,25.360383987426758,25.011237621307373,24.530879020690918,29.212298154830933,23.101796865463257
