Simulation,QBC,WiGS (SAC),EGAL,GSy,WiGS (Static w_x=0.25),GSx,"WiGS (Time-Decay, Linear)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (Time-Decay, Exponential)",WiGS (Static w_x=0.75),"WiGS (MAB-UCB1, c=5.0)",Uncertainty Sampling,EMCM,Passive Learning,iGS,WiGS (Static w_x=0.5)
32,6.459208726882935,7.331104516983032,4.516814231872559,4.4572412967681885,4.492692708969116,4.3160858154296875,4.491302728652954,4.522979497909546,4.512177467346191,4.497533082962036,4.500799655914307,4.594311714172363,4.386175155639648,4.2949888706207275,4.197751760482788,4.493989944458008,4.496132850646973
33,6.491318464279175,6.321031332015991,4.5609290599823,4.4876790046691895,4.515720844268799,4.3434062004089355,4.524569511413574,4.538277626037598,4.519079923629761,4.542202711105347,4.51931095123291,4.655937671661377,4.427876710891724,4.318681955337524,4.215246677398682,4.534748315811157,4.532934665679932
34,6.478214502334595,7.245169639587402,4.575675010681152,4.512723684310913,4.517320394515991,4.325689077377319,4.508896589279175,4.5316267013549805,4.524166822433472,4.520700454711914,4.508584499359131,4.661054849624634,4.40692400932312,4.3288609981536865,4.196124315261841,4.514400243759155,4.511615037918091
35,6.491977214813232,6.370193004608154,4.546175003051758,4.487899541854858,4.518262147903442,4.347617149353027,4.530304193496704,4.542417764663696,4.520289897918701,4.553976774215698,4.526705265045166,4.658270597457886,4.4212846755981445,4.307242393493652,4.197373628616333,4.514331579208374,4.531198501586914
36,6.504974126815796,6.72749662399292,4.539100885391235,4.449573278427124,4.519495248794556,4.326027154922485,4.505134344100952,4.525952339172363,4.51850152015686,4.508802652359009,4.514226913452148,4.619016170501709,4.404338359832764,4.3058249950408936,4.201493263244629,4.53154444694519,4.523015260696411
37,7.853714942932129,7.981037855148315,4.549852609634399,4.474503993988037,4.556126117706299,4.337874174118042,5.465420722961426,5.314656496047974,5.342674016952515,5.285373687744141,5.497809171676636,5.572057723999023,4.420918941497803,4.33669638633728,4.232009649276733,4.526146173477173,5.081782579421997
38,6.467825889587402,7.282202959060669,4.5724451541900635,4.457904577255249,4.519390344619751,4.332233190536499,4.507931232452393,4.504229545593262,4.498465538024902,4.498626470565796,4.503263235092163,4.505617141723633,4.399537086486816,4.3067121505737305,4.218865394592285,4.530294418334961,4.500888109207153
39,6.498805284500122,6.405698776245117,4.5573084354400635,4.479042053222656,4.520518779754639,4.354881763458252,4.554137706756592,4.553069591522217,4.530757188796997,4.542028427124023,4.568049907684326,4.550202369689941,4.442516088485718,4.314047574996948,4.200411796569824,4.527817249298096,4.523998975753784
40,7.5037312507629395,7.519136905670166,5.426922559738159,5.2940144538879395,5.390138387680054,5.134511709213257,5.343537092208862,5.374506711959839,5.29738450050354,5.369625568389893,5.3431925773620605,5.392626047134399,5.239972114562988,5.084924697875977,5.042599201202393,5.368561029434204,5.376096725463867
41,6.422521114349365,6.917200088500977,4.563288688659668,4.458881139755249,4.551743507385254,4.313413619995117,4.505161285400391,4.5136191844940186,4.518767595291138,4.518398284912109,4.503437519073486,4.639477491378784,4.399691820144653,4.28699803352356,4.1604955196380615,4.506475448608398,4.521815776824951
42,7.878711223602295,7.9434990882873535,4.5405426025390625,4.467391490936279,4.537706136703491,4.316269636154175,5.426793098449707,5.294494867324829,5.321974039077759,5.269042015075684,5.449820518493652,5.53044056892395,4.405295372009277,4.325010776519775,4.232054948806763,4.502195119857788,5.024468898773193
43,6.59854531288147,6.481497764587402,4.584529399871826,4.522732257843018,4.593038320541382,4.384616136550903,4.588179588317871,4.6041436195373535,4.59459376335144,4.5761730670928955,4.630177974700928,4.588720083236694,4.463378429412842,4.368001461029053,4.261626720428467,4.566688776016235,4.582559823989868
44,6.57111120223999,6.539806127548218,4.591710567474365,4.517090559005737,4.507412672042847,4.357375383377075,4.631918907165527,4.610704183578491,4.579209804534912,4.660583972930908,4.5603814125061035,4.700502872467041,4.480903625488281,4.305960416793823,4.224155426025391,4.630048751831055,4.576276063919067
45,6.496039628982544,6.794306039810181,4.606621503829956,4.4566473960876465,4.5541672706604,4.32723331451416,4.56746244430542,4.568335056304932,4.561068534851074,4.5685875415802,4.5554821491241455,4.702529430389404,4.400756597518921,4.304718732833862,4.203379392623901,4.522362947463989,4.565644979476929
46,6.450586795806885,6.297246217727661,4.5387043952941895,4.458256244659424,4.505948066711426,4.340725421905518,4.529480457305908,4.5316503047943115,4.520698070526123,4.5316784381866455,4.527925968170166,4.638052701950073,4.415511846542358,4.290220022201538,4.1741461753845215,4.509444952011108,4.517107963562012
47,7.930874824523926,7.982023477554321,5.333123207092285,5.414238929748535,5.395837068557739,4.990921497344971,5.489632844924927,5.410560607910156,5.45379376411438,5.382368326187134,5.485488653182983,5.625844478607178,5.124395370483398,5.061591625213623,4.218005895614624,5.41752552986145,5.446686744689941
48,7.601495742797852,7.7316553592681885,5.545921325683594,5.406429052352905,5.204417943954468,5.235005855560303,5.339453935623169,5.1813719272613525,5.1061623096466064,5.307093381881714,5.334748029708862,5.094840049743652,5.375502824783325,4.9793291091918945,5.0438315868377686,5.5302817821502686,5.249263525009155
49,6.516283750534058,7.017714023590088,4.529635667800903,4.49863338470459,4.504385232925415,4.3310651779174805,4.515945911407471,4.519113779067993,4.5138373374938965,4.509583234786987,4.5185487270355225,4.620583534240723,4.399374008178711,4.294149398803711,4.192098617553711,4.509611368179321,4.510317802429199
50,7.587851047515869,7.5863823890686035,5.547837972640991,5.398901462554932,5.205221652984619,5.227017164230347,5.3364174365997314,5.184709548950195,5.112514972686768,5.320954322814941,5.338022232055664,5.244939565658569,5.393949270248413,4.962510824203491,5.044572114944458,5.531428575515747,5.2458655834198
51,6.480264663696289,7.289418935775757,4.531909465789795,4.475813865661621,4.516623258590698,4.3213605880737305,4.521080017089844,4.506582975387573,4.498687744140625,4.498117685317993,4.520848989486694,4.62693190574646,4.410246133804321,4.301257133483887,4.180441856384277,4.510947942733765,4.51257586479187
52,6.559710502624512,7.325514793395996,4.570056438446045,4.499647855758667,4.521422863006592,4.321985483169556,4.515017509460449,4.576295852661133,4.562090158462524,4.570691108703613,4.498403310775757,4.698676109313965,4.420088052749634,4.293359756469727,4.189264535903931,4.500786066055298,4.504616737365723
53,7.482983112335205,7.613873720169067,5.472031593322754,5.293634653091431,5.450650930404663,5.164349794387817,5.3775506019592285,5.387657165527344,5.326671600341797,5.406632423400879,5.372694492340088,5.420454978942871,5.250333547592163,5.092482328414917,5.059589385986328,5.415395736694336,5.436363220214844
54,6.523418664932251,6.948561429977417,4.593087434768677,4.470227479934692,4.564555406570435,4.335025787353516,4.55497407913208,4.561170339584351,4.550000190734863,4.544229030609131,4.545680046081543,4.6803600788116455,4.406271457672119,4.30904746055603,4.244856119155884,4.532570838928223,4.5530877113342285
55,6.421050548553467,6.348131895065308,4.524186849594116,4.44092583656311,4.493851661682129,4.312709808349609,4.481393337249756,4.488965272903442,4.489284515380859,4.4849066734313965,4.505236387252808,4.601574182510376,4.403695106506348,4.274981737136841,4.166021347045898,4.487391948699951,4.491444110870361
56,6.474316835403442,7.047227144241333,4.5005879402160645,4.4468934535980225,4.494487285614014,4.313254117965698,4.489065647125244,4.495122909545898,4.4917731285095215,4.49477481842041,4.49349570274353,4.496433258056641,4.3867058753967285,4.270063400268555,4.199345588684082,4.518367767333984,4.512210845947266
57,6.698299169540405,6.962348461151123,4.520137786865234,4.444169044494629,4.548206329345703,4.322938919067383,4.542425155639648,4.527640104293823,4.490070104598999,4.541719913482666,4.526181936264038,4.7545812129974365,4.410390138626099,4.296122789382935,4.176602125167847,4.492808103561401,4.530155420303345
58,7.450305700302124,7.21306586265564,5.0591466426849365,5.088912010192871,5.030571699142456,5.000066041946411,5.106766939163208,5.099566221237183,5.173631429672241,5.097489356994629,5.101802587509155,5.276697874069214,4.959915637969971,4.811013698577881,4.8803253173828125,5.054979085922241,5.06273078918457
59,6.511786460876465,6.516161203384399,4.601296663284302,4.491640567779541,4.595952272415161,4.343502044677734,4.546884059906006,4.546387434005737,4.5483293533325195,4.541913747787476,4.540083646774292,4.670336961746216,4.436975955963135,4.321022987365723,4.208361387252808,4.528387546539307,4.556582927703857
60,6.519716501235962,6.8615288734436035,4.62469744682312,4.4847939014434814,4.586898565292358,4.3570544719696045,4.596312999725342,4.600289344787598,4.590813875198364,4.601794481277466,4.589708566665649,4.736487627029419,4.432158946990967,4.3379058837890625,4.258387804031372,4.544796466827393,4.590152740478516
61,6.485816717147827,6.936132907867432,4.604094505310059,4.460122108459473,4.536308288574219,4.329246282577515,4.55876350402832,4.568536043167114,4.5554585456848145,4.555143117904663,4.554980754852295,4.696735620498657,4.410511016845703,4.291918516159058,4.224452257156372,4.520771026611328,4.549359560012817
62,6.603108644485474,6.7088377475738525,4.644817590713501,4.530435800552368,4.6251137256622314,4.4019153118133545,4.60103702545166,4.615004777908325,4.615961790084839,4.6169960498809814,4.606674432754517,4.761314868927002,4.4930150508880615,4.374507188796997,4.296780586242676,4.61159610748291,4.598938703536987
63,6.565272808074951,6.825872182846069,4.587221622467041,4.499336004257202,4.544451475143433,4.349656105041504,4.567776679992676,4.55919075012207,4.532945871353149,4.5642640590667725,4.546126842498779,4.70466685295105,4.44086766242981,4.317120790481567,4.232085227966309,4.530258893966675,4.545515060424805
