Simulation,iGS,WiGS (Static w_x=0.25),Passive Learning,"WiGS (MAB-UCB1, c=5.0)",EMCM,WiGS (Static w_x=0.75),WiGS (SAC),Uncertainty Sampling,WiGS (Static w_x=0.5),"WiGS (Time-Decay, Exponential)",EGAL,QBC,GSy,GSx,"WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (Time-Decay, Linear)"
35,1.253633975982666,1.256079912185669,1.1782476902008057,1.2518460750579834,1.2114739418029785,1.2534189224243164,2.458787202835083,1.2422587871551514,1.249863862991333,1.269615888595581,1.2526986598968506,1.858017921447754,1.2499120235443115,1.2133729457855225,1.2713968753814697,1.253483533859253,1.2707574367523193
36,1.2219815254211426,1.2160365581512451,1.1452171802520752,1.2144815921783447,1.173954725265503,1.2151048183441162,2.7457737922668457,1.202430009841919,1.2152233123779297,1.2147605419158936,1.2086982727050781,1.7977311611175537,1.2144315242767334,1.1755473613739014,1.2151355743408203,1.2185096740722656,1.2114388942718506
37,1.2935733795166016,1.270190715789795,1.2023234367370605,1.292130708694458,1.2343714237213135,1.2630834579467773,2.413710117340088,1.2839386463165283,1.2710158824920654,1.2722821235656738,1.2679824829101562,1.8904595375061035,1.2883780002593994,1.23099684715271,1.2773313522338867,1.2817134857177734,1.2649388313293457
38,1.2262415885925293,1.257129430770874,1.1645781993865967,1.2224934101104736,1.210505723953247,1.2577388286590576,2.1954116821289062,1.2239515781402588,1.2550551891326904,1.2457587718963623,1.243814468383789,1.8226654529571533,1.2164604663848877,1.1848697662353516,1.2397394180297852,1.2303595542907715,1.2461931705474854
39,1.236881971359253,1.2202672958374023,1.168881893157959,1.2238798141479492,1.2140562534332275,1.2182884216308594,2.371339797973633,1.2180659770965576,1.2136178016662598,1.244255542755127,1.2580993175506592,1.8256335258483887,1.2300865650177002,1.1925487518310547,1.2471613883972168,1.2465710639953613,1.2244184017181396
40,1.2177209854125977,1.2071330547332764,1.1484096050262451,1.2080750465393066,1.166494607925415,1.2101612091064453,2.751829147338867,1.2209575176239014,1.2063417434692383,1.2118682861328125,1.2135207653045654,1.7816648483276367,1.219533920288086,1.1733551025390625,1.2089877128601074,1.2059836387634277,1.2087900638580322
41,1.214134931564331,1.2556955814361572,1.1447315216064453,1.2452917098999023,1.1917986869812012,1.215099573135376,2.254429817199707,1.1991968154907227,1.2209680080413818,1.2186672687530518,1.2282629013061523,1.7967150211334229,1.2149548530578613,1.1797053813934326,1.2321221828460693,1.2289009094238281,1.2112314701080322
42,1.2265172004699707,1.239457130432129,1.1469433307647705,1.209876298904419,1.1912095546722412,1.2484195232391357,2.1934521198272705,1.2223148345947266,1.2525665760040283,1.2569282054901123,1.2275338172912598,1.7877423763275146,1.214942455291748,1.1767163276672363,1.2407639026641846,1.2108268737792969,1.242196798324585
43,1.2417972087860107,1.2617120742797852,1.185281753540039,1.241699457168579,1.207413911819458,1.2556514739990234,2.205156087875366,1.2227885723114014,1.265989065170288,1.2582502365112305,1.2332794666290283,1.8181538581848145,1.2457380294799805,1.2171103954315186,1.2531909942626953,1.2497143745422363,1.264404535293579
44,1.2488133907318115,1.2544469833374023,1.1640536785125732,1.2338366508483887,1.190068244934082,1.2724652290344238,2.270726442337036,1.2427067756652832,1.2666876316070557,1.2827026844024658,1.2394118309020996,1.8041071891784668,1.2373411655426025,1.196652889251709,1.25374174118042,1.2380993366241455,1.2655158042907715
45,1.2053947448730469,1.2023208141326904,1.138481855392456,1.205091953277588,1.1662678718566895,1.2044312953948975,2.8915224075317383,1.2018370628356934,1.2003769874572754,1.2030324935913086,1.203902006149292,1.7771594524383545,1.2022857666015625,1.1657607555389404,1.2068424224853516,1.2090551853179932,1.2018992900848389
46,1.2645618915557861,1.279942274093628,1.1994578838348389,1.2757112979888916,1.2270307540893555,1.383638620376587,2.2480952739715576,1.3131701946258545,1.3641879558563232,1.3125855922698975,1.2550151348114014,1.8578250408172607,1.2682764530181885,1.2203943729400635,1.2811236381530762,1.2635939121246338,1.332913875579834
47,1.2065181732177734,1.2066669464111328,1.139486312866211,1.2300100326538086,1.1676228046417236,1.2085764408111572,2.8155312538146973,1.1960842609405518,1.2102227210998535,1.2029800415039062,1.2095873355865479,1.7818717956542969,1.2038679122924805,1.1601331233978271,1.1989281177520752,1.2118351459503174,1.2034449577331543
48,1.2187175750732422,1.251521348953247,1.1642816066741943,1.2178947925567627,1.2041466236114502,1.277097225189209,2.198178768157959,1.2296268939971924,1.2596843242645264,1.2470221519470215,1.2503564357757568,1.840975046157837,1.2160508632659912,1.1885795593261719,1.2419567108154297,1.2321138381958008,1.2528085708618164
49,1.2646610736846924,1.2575178146362305,1.176259994506836,1.2934651374816895,1.215590476989746,1.2428958415985107,2.345339059829712,1.2459239959716797,1.249406099319458,1.2812016010284424,1.2484118938446045,1.8453121185302734,1.2531023025512695,1.2298908233642578,1.2731761932373047,1.3002841472625732,1.279444694519043
50,1.214033842086792,1.1988794803619385,1.1519362926483154,1.2074408531188965,1.1625697612762451,1.2076873779296875,2.789051055908203,1.2171196937561035,1.2057178020477295,1.2091894149780273,1.2075254917144775,1.7785797119140625,1.214930534362793,1.1719739437103271,1.202134609222412,1.2063512802124023,1.2063779830932617
51,1.2565727233886719,1.2584495544433594,1.1634345054626465,1.2381072044372559,1.193162441253662,1.2734923362731934,2.2493176460266113,1.2450997829437256,1.2720425128936768,1.2890491485595703,1.2432568073272705,1.8083972930908203,1.2460219860076904,1.2004632949829102,1.2596814632415771,1.2472331523895264,1.2735412120819092
52,1.2078990936279297,1.2132601737976074,1.1560633182525635,1.2440664768218994,1.1632201671600342,1.2128996849060059,2.264922618865967,1.196664810180664,1.2192137241363525,1.2093279361724854,1.196101188659668,1.807664155960083,1.2002878189086914,1.168569564819336,1.235288381576538,1.2165412902832031,1.2091436386108398
53,1.2037253379821777,1.249419927597046,1.1425034999847412,1.2350356578826904,1.1860332489013672,1.2084689140319824,2.2379579544067383,1.1931793689727783,1.2156429290771484,1.2114274501800537,1.2059962749481201,1.7894601821899414,1.2044446468353271,1.1743502616882324,1.221208095550537,1.2170836925506592,1.202765941619873
54,1.2205650806427002,1.219942569732666,1.1705341339111328,1.2647345066070557,1.1737525463104248,1.2225368022918701,2.2783374786376953,1.2065751552581787,1.2272052764892578,1.2217223644256592,1.207383632659912,1.8224291801452637,1.219236135482788,1.1856975555419922,1.2451832294464111,1.231043815612793,1.2241125106811523
55,1.2193477153778076,1.2147643566131592,1.1474008560180664,1.222550868988037,1.1951875686645508,1.2208118438720703,2.249799966812134,1.2156295776367188,1.2199831008911133,1.231438159942627,1.2557988166809082,1.8134286403656006,1.2130441665649414,1.1703248023986816,1.243105173110962,1.231757402420044,1.215073823928833
56,1.250946283340454,1.2545583248138428,1.1614222526550293,1.2392497062683105,1.189861536026001,1.2794015407562256,2.2626423835754395,1.2429225444793701,1.267324686050415,1.286055326461792,1.2632248401641846,1.8104009628295898,1.2374725341796875,1.205207109451294,1.252634048461914,1.2479486465454102,1.268357276916504
57,1.1994054317474365,1.2473161220550537,1.1431496143341064,1.2344317436218262,1.17885160446167,1.202549695968628,2.2200682163238525,1.190326452255249,1.2185966968536377,1.2079434394836426,1.212332010269165,1.7869634628295898,1.1988754272460938,1.1667969226837158,1.2166023254394531,1.2115721702575684,1.2014801502227783
58,1.245089054107666,1.284153938293457,1.1711716651916504,1.2611126899719238,1.239100456237793,1.2241711616516113,2.3338284492492676,1.2380316257476807,1.236687421798706,1.2545602321624756,1.24749755859375,1.8858675956726074,1.2417011260986328,1.212165117263794,1.2767877578735352,1.2666852474212646,1.2410809993743896
59,1.215745449066162,1.225480318069458,1.1677720546722412,1.2726531028747559,1.185948371887207,1.2121596336364746,2.3726518154144287,1.2108213901519775,1.2144522666931152,1.2136168479919434,1.2188711166381836,1.8285365104675293,1.2162673473358154,1.1888446807861328,1.231435775756836,1.241077184677124,1.203317642211914
60,1.2211670875549316,1.199450969696045,1.1449220180511475,1.2160003185272217,1.169785737991333,1.1941542625427246,2.19457745552063,1.220799446105957,1.196744680404663,1.2008495330810547,1.2270081043243408,1.8090322017669678,1.2191381454467773,1.1781222820281982,1.2133066654205322,1.2180826663970947,1.195375919342041
61,1.2185842990875244,1.2059776782989502,1.1458938121795654,1.2112455368041992,1.1749188899993896,1.2095232009887695,2.7763373851776123,1.2041075229644775,1.2078866958618164,1.208808422088623,1.2123050689697266,1.7846617698669434,1.212472915649414,1.1699187755584717,1.2053453922271729,1.2089455127716064,1.2070386409759521
62,1.2406179904937744,1.2740850448608398,1.1693415641784668,1.2687559127807617,1.2178022861480713,1.217930555343628,2.325148105621338,1.23514723777771,1.2377979755401611,1.2379848957061768,1.2637786865234375,1.8403735160827637,1.2446494102478027,1.2029306888580322,1.258702039718628,1.2501864433288574,1.2247645854949951
63,1.2070460319519043,1.195923089981079,1.1329200267791748,1.2037110328674316,1.1634480953216553,1.205289602279663,2.901109457015991,1.1945064067840576,1.196603536605835,1.203634262084961,1.1945757865905762,1.796269178390503,1.2129974365234375,1.165285348892212,1.2034721374511719,1.2066740989685059,1.2000107765197754
64,1.220524549484253,1.212871789932251,1.1451926231384277,1.2129740715026855,1.1774697303771973,1.2128345966339111,2.7691619396209717,1.2046465873718262,1.209777593612671,1.2139055728912354,1.2113232612609863,1.7975575923919678,1.2139406204223633,1.1737263202667236,1.209611177444458,1.2130873203277588,1.2105250358581543
65,1.2103517055511475,1.1927154064178467,1.1390347480773926,1.2111132144927979,1.1555380821228027,1.192558765411377,2.194749593734741,1.1907455921173096,1.193922758102417,1.2022364139556885,1.1983225345611572,1.786250114440918,1.2089695930480957,1.1715474128723145,1.2113966941833496,1.2106831073760986,1.197392225265503
66,1.2082290649414062,1.207763910293579,1.1347529888153076,1.2043185234069824,1.1635022163391113,1.210801362991333,2.799502372741699,1.2021119594573975,1.2092154026031494,1.2094097137451172,1.215484857559204,1.786008596420288,1.2005634307861328,1.1562185287475586,1.2189466953277588,1.2255218029022217,1.2115819454193115
67,1.2421071529388428,1.3337979316711426,1.1611857414245605,1.263336181640625,1.2730209827423096,1.3142402172088623,2.24712872505188,1.2611191272735596,1.3355481624603271,1.3105130195617676,1.2996001243591309,1.7845118045806885,1.2419888973236084,1.1956119537353516,1.3026235103607178,1.2746593952178955,1.3072516918182373
68,1.223768949508667,1.2195875644683838,1.1493656635284424,1.226550579071045,1.1843280792236328,1.2213122844696045,2.635361671447754,1.2118659019470215,1.2181808948516846,1.2247333526611328,1.2186393737792969,1.8043508529663086,1.2249243259429932,1.1843106746673584,1.222909927368164,1.2250473499298096,1.2211496829986572
69,1.2407958507537842,1.2882366180419922,1.1847646236419678,1.2321794033050537,1.236595630645752,1.2858436107635498,2.229159355163574,1.2474641799926758,1.2866334915161133,1.2700767517089844,1.2654633522033691,1.863314151763916,1.228285789489746,1.198948860168457,1.2611451148986816,1.2414188385009766,1.278381586074829
70,1.2230045795440674,1.2180311679840088,1.1723697185516357,1.2503905296325684,1.1727588176727295,1.2247962951660156,2.3284192085266113,1.2221074104309082,1.2401113510131836,1.2149145603179932,1.2186322212219238,1.8115315437316895,1.2144889831542969,1.1827526092529297,1.2407505512237549,1.2189838886260986,1.21144437789917
71,1.2259392738342285,1.2359647750854492,1.1464779376983643,1.216883897781372,1.1940348148345947,1.2482829093933105,2.1751532554626465,1.2300348281860352,1.261918067932129,1.261366605758667,1.237020492553711,1.7880945205688477,1.2147629261016846,1.1756892204284668,1.2557368278503418,1.2128033638000488,1.246539831161499
72,1.204451322555542,1.200263500213623,1.1288352012634277,1.2027482986450195,1.1625370979309082,1.2032384872436523,2.923238515853882,1.1921765804290771,1.196359634399414,1.2027299404144287,1.1934053897857666,1.7972943782806396,1.2111620903015137,1.1620697975158691,1.1986265182495117,1.2032439708709717,1.200465202331543
73,1.2482490539550781,1.2631714344024658,1.179065227508545,1.2576885223388672,1.2086498737335205,1.2774815559387207,2.2109382152557373,1.223020315170288,1.2765185832977295,1.28147554397583,1.2306113243103027,1.8179426193237305,1.2449195384979248,1.208522081375122,1.2761647701263428,1.2666065692901611,1.2769403457641602
74,1.2070260047912598,1.1966605186462402,1.140371561050415,1.200690746307373,1.1549549102783203,1.1985900402069092,2.8896379470825195,1.2133610248565674,1.1934864521026611,1.2000982761383057,1.2015702724456787,1.771543025970459,1.2115271091461182,1.165191650390625,1.201704502105713,1.1998867988586426,1.1996517181396484
75,1.2232394218444824,1.2574293613433838,1.157254695892334,1.2496006488800049,1.2088143825531006,1.206230878829956,2.297950267791748,1.2146356105804443,1.2217566967010498,1.2243781089782715,1.224254846572876,1.8159089088439941,1.2243645191192627,1.1950569152832031,1.2448759078979492,1.2374069690704346,1.2136986255645752
76,1.1969013214111328,1.1976892948150635,1.133131980895996,1.214632272720337,1.1569201946258545,1.2040374279022217,2.9208388328552246,1.1852595806121826,1.2018933296203613,1.197519063949585,1.1981284618377686,1.7753233909606934,1.1954724788665771,1.158167839050293,1.1992335319519043,1.2018804550170898,1.2008869647979736
77,1.2161264419555664,1.2164897918701172,1.180640697479248,1.2677512168884277,1.1669089794158936,1.2202305793762207,2.410576105117798,1.2018287181854248,1.2193403244018555,1.2384164333343506,1.200150728225708,1.8128864765167236,1.2101919651031494,1.17746901512146,1.2683284282684326,1.2488820552825928,1.2117128372192383
